Time (s) Run #1,,analog
1621,914,238
1622,914,239
1623,914,238
1624,914,239
1625,916,239
1626,916,239
1627,916,238
1628,916,237
1629,918,237
1630,918,237
1631,918,231
1632,920,237
1633,920,237
1634,920,238
1635,922,236
1636,922,230
1637,922,238
1638,922,236
1639,924,236
1640,924,236
1641,924,236
1642,924,228
1643,924,237
1644,924,236
1645,924,238
1646,926,237
1647,926,238
1648,926,238
1649,926,239
1650,926,238
1651,926,237
1652,926,237
1653,926,237
1654,926,238
1655,926,236
1656,926,237
1657,928,237
1658,928,236
1659,928,235
1660,928,237
1661,928,236
1662,928,237
1663,930,237
1664,930,237
1665,930,237
1666,930,237
1667,930,227
1668,930,237
1669,930,235
1670,930,236
1671,930,226
1672,930,237
1673,930,237
1674,930,237
1675,932,238
1676,932,237
1677,932,237
1678,932,237
1679,932,239
1680,932,239
1681,932,237
1682,932,237
1683,932,219
1684,930,237
1685,930,237
1686,930,227
1687,930,238
1688,930,224
1689,930,239
1690,930,239
1691,930,239
1692,930,240
1693,930,240
1694,930,240
1695,930,240
1696,930,239
1697,930,240
1698,930,239
1699,930,241
1700,930,241
1701,930,239
1702,930,232
1703,932,241
1704,932,240
1705,934,242
1706,936,241
1707,936,232
1708,938,241
1709,940,240
1710,942,231
1711,946,241
1712,948,240
1713,952,237
1714,954,236
1715,958,242
1716,962,237
1717,966,234
1718,970,244
1719,974,235
1720,978,244
1721,982,235
1722,986,245
1723,990,234
1724,994,237
1725,1000,244
1726,1004,234
1727,1010,244
1728,1014,227
1729,1020,235
1730,1024,236
1731,1030,236
1732,1036,235
1733,1040,228
1734,1046,244
1735,1052,244
1736,1058,233
1737,1064,228
1738,1068,230
1739,1072,236
1740,1076,228
1741,1082,227
1742,1086,227
1743,1090,230
1744,1094,225
1745,1096,240
1746,1100,241
1747,1104,240
1748,1106,240
1749,1110,225
1750,1112,228
1751,1116,228
1752,1118,229
1753,1118,239
1754,1120,241
1755,1122,229
1756,1124,236
1757,1124,236
1758,1126,226
1759,1126,236
1760,1126,245
1761,1128,237
1762,1128,235
1763,1128,238
1764,1128,245
1765,1128,245
1766,1128,227
1767,1130,236
1768,1130,234
1769,1130,236
1770,1130,234
1771,1130,233
1772,1130,235
1773,1132,228
1774,1132,233
1775,1134,233
1776,1136,234
1777,1136,232
1778,1138,234
1779,1140,240
1780,1140,243
1781,1142,235
1782,1144,232
1783,1144,231
1784,1144,229
1785,1144,241
1786,1144,237
1787,1142,236
1788,1142,233
1789,1142,232
1790,1140,234
1791,1138,228
1792,1138,232
1793,1136,232
1794,1134,236
1795,1132,236
1796,1132,236
1797,1130,229
1798,1128,243
1799,1126,228
1800,1126,234
1801,1124,245
1802,1124,246
1803,1122,246
1804,1122,246
1805,1122,235
1806,1122,233
1807,1122,233
1808,1122,245
1809,1122,246
1810,1124,246
1811,1124,246
1812,1124,247
1813,1124,245
1814,1124,247
1815,1124,246
1816,1124,245
1817,1124,245
1818,1124,245
1819,1124,245
1820,1124,245
1821,1126,244
1822,1126,244
1823,1128,244
1824,1128,229
1825,1128,243
1826,1130,244
1827,1130,243
1828,1132,244
1829,1132,227
1830,1132,242
1831,1134,243
1832,1134,244
1833,1136,245
1834,1136,245
1835,1138,245
1836,1138,241
1837,1138,243
1838,1140,243
1839,1140,242
1840,1140,243
1841,1142,242
1842,1142,221
1843,1144,240
1844,1146,223
1845,1146,241
1846,1148,241
1847,1150,231
1848,1152,241
1849,1154,240
1850,1156,240
1851,1158,243
1852,1160,243
1853,1162,243
1854,1162,243
1855,1164,243
1856,1166,242
1857,1166,224
1858,1168,215
1859,1168,246
1860,1170,247
1861,1170,247
1862,1172,247
1863,1172,248
1864,1172,248
1865,1172,249
1866,1174,249
1867,1174,249
1868,1174,249
1869,1174,249
1870,1174,249
1871,1174,249
1872,1174,249
1873,1176,249
1874,1176,249
1875,1176,250
1876,1174,249
1877,1174,250
1878,1174,250
1879,1174,250
1880,1174,251
1881,1174,250
1882,1174,250
1883,1174,250
1884,1174,250
1885,1174,249
1886,1174,250
1887,1176,250
1888,1176,250
1889,1176,250
1890,1178,250
1891,1178,250
1892,1178,249
1893,1178,221
1894,1176,235
1895,1176,227
1896,1176,244
1897,1176,244
1898,1176,235
1899,1176,228
1900,1176,245
1901,1176,245
1902,1176,245
1903,1176,245
1904,1176,245
1905,1176,246
1906,1176,246
1907,1176,246
1908,1176,246
1909,1176,247
1910,1176,247
1911,1176,247
1912,1174,248
1913,1174,247
1914,1174,238
1915,1174,236
1916,1174,235
1917,1174,248
1918,1174,248
1919,1174,248
1920,1174,249
1921,1172,249
1922,1172,249
1923,1172,249
1924,1170,248
1925,1170,234
1926,1170,237
1927,1168,247
1928,1168,248
1929,1168,248
1930,1168,248
1931,1166,248
1932,1166,223
1933,1166,216
1934,1166,243
1935,1164,212
1936,1164,223
1937,1164,221
1938,1164,227
1939,1164,218
1940,1164,215
1941,1164,215
1942,1164,228
1943,1162,224
1944,1162,215
1945,1162,209
1946,1162,227
1947,1162,228
1948,1162,219
1949,1162,213
1950,1162,222
1951,1162,228
1952,1162,240
1953,1162,241
1954,1162,211
1955,1162,233
1956,1162,227
1957,1162,231
1958,1162,227
1959,1162,214
1960,1162,216
1961,1164,237
1962,1164,214
1963,1164,234
1964,1164,234
1965,1164,231
1966,1166,232
1967,1166,216
1968,1166,235
1969,1166,234
1970,1166,232
1971,1168,226
1972,1168,233
1973,1168,231
1974,1168,219
1975,1170,214
1976,1170,227
1977,1170,234
1978,1170,230
1979,1170,229
1980,1172,235
1981,1172,232
1982,1172,231
1983,1174,230
1984,1174,207
1985,1174,218
1986,1172,214
1987,1172,228
1988,1172,232
1989,1172,232
1990,1172,230
1991,1172,233
1992,1174,233
1993,1174,233
1994,1174,213
1995,1174,232
1996,1174,230
1997,1176,232
1998,1176,231
1999,1176,230
2000,1176,229
2001,1176,223
2002,1176,235
2003,1176,233
2004,1176,233
2005,1176,232
2006,1176,233
2007,1176,232
2008,1176,222
2009,1176,229
2010,1174,229
